Mensaje
| Notekreo |
| Chi |
| Gracias neni |
| :0 |
| Que caro |
| Boomer |
| Pq |
| Ya |
| Siii |
| Si claro |
| A |
| No |
| Que miedo |
| Mi termo |
| A mi me dio |
| Mas |
| Me mori de la impresion |
| Jajajaja pq dices eso? |
| Sip |
| Voy a comerrrr |
| Esperateee |
| Donde |
| Sincro |
| Siiii |
| :) |
| Si |
| Sobre todo por la vida de un otaku |
| Si |
| Sii |
| Jajajaj kien sabeee |
| No |
| Ya |
| Si |
| Si |
| No vi |
| Seguro me rechazo |
| Si |
| Jajsjsja |
| Siii |
| Pq |
| Siiii |
| Hay q irse x el mal |
| Si |
"| Me recordaste el ark, ves q eran juveniles ahi tmb |"
| Si |
| Yo solo kiero lo q todos queremos una cuenta con mucho ceros |
| Yo tmb |
| Mimi bn pero no soñe nd |
| Buenos dias chika |
| X2 |
| Ya llegue |
| Tiene poco |
| Como 1 hora |
| Gracias a dios |
| Pues ya ves TT |
| Bien y a ti? |
"| Pero desde q jugue la vida de un otaku, ya no le tengo fe al roblox |"
| Ooo |
| Deberian hacer un juego asi |
| A |
| No |
| Y jugar roblox |
| Jajajajaj |
| Sip |
| Nose |
| NoOoooOoooo |
| Si |
| Pero no puedo |
| De vdd? |
| Ahorita ya acabe |
| Pero ya tengo sueño |
| Gracias |
| Non |
| Jajjaja |
| Vaaa |
| A lo mejor si |
| Pero algo basico |
| Uy no |
| XD |
| :0 |
| Y q tal? |
| Ps si |
| Me pregunto si habra de esos para mi carrera |
| Jajajja |
| A |
| Un ojo de la cara |
| Ejo ji |
| Foraneos |
| Si |
| Si |
| Jajajja |
| Gracias |
| Caro |
| Expensive |
| Cheap |
| A si a si |
| Ps botate |
| Nooo |
| Por eso se duermen |
| Con dengue |
| Bendiciones |
| Poke |
| Jajajaj |
| Es q embeses si se pasan |
| Onta? |
| Sigo en la escuelaaaaaa |
| Perfecto |
| Ya |
| Bien y a ti? |
| Sii |
| Que me vas a regalar? |
| Dame opciones |
| Jqjajaj me da mucha risa cuando pones eso |
| Nose |
| Grasias |
| Si |
| No |
| Botate |
| Si |
| No |
| Toy cansaa |
| Ya dormire |
| Pero toy cansaa |
| Grasias chika |
| Pero deja mimir |
| Adios |
| Vere mi asmr artist favorito |
| Si |
| No |
| Es |
| Es |
| Es |
| No |
| Ya lo cambie |
| Ahora es |
| ... |
| Jajajaj |
| Es el |
| Mol |
| Me cayo muy bn |
| Si |
| Nuestro |
| Jajajaj |
| Me recordo al solo de yeojun |
| Me cacheteo |
| Jajajaj |
| Jajajajja |
| Apoko? Nosabia |
| Nos cacheteo |
| Mandaselo jajaj |
| 100% real |
| Pero esa es canon |
| No |
| No kiero |
| Adios |
| Jajajaj |
| Ey ola |
| Akii |
| Me vicie |
| Ocupaba jugar en las sillas |
| Pero no pule |
| Mmm |
| Bueno |
| Sii |
| No te creaaas |
| Eso si |
| Jajaja |
| Si |
| Pero ese estaba bn feo jajajaj |
| si |
| hola estoy en escuela |
| ya me kiero ir |
| Expuse nomas |
| Pero creo q me fue bien |
| Siiii |
| Ve preparando mis robux |
| Si |
| Estoy triste |
| Poke |
| Jajaja |
| En q |
| No se |
| Jajajaj |
| Es q no seee |
| Animo |
| Jajajaj |
| Para mañana |
| Quiza |
| Y ps aki andamos |
| Pero no le he dicho a nadie |
| X eso gracias |
| Si |
| Kisiese |
| Pero bno al menos ya estoy en el hogar |
| Ya |
| Ojala |
| Si jajajaj |
| Frey no esta |
| Anda chambeando |
| Jajajj |
| Ya toy mejor |
| Chi |
| Jajajaja |
| Go go go falto nomas |
| Sim |
| Q se preparo? |
| Ya |
| Que fue que fue |
| Ooo |
| Q riko |
| Jajajaj |
| El perrito |
| Antes de devorartelo todo |
| Jajaka me enseñas si si |
| Jajajajajaj |
| Es tu pieza fav? |
| Si |
| XD |
| Jajajajj |
| Asi en un prro sticker |
| Jajajj |
| Siii |
| XD |
| Vavav |
| No |
| No |
| Grasias |
| Noooooo |
| Si sas |
| Uuuuu jajajajjaja |
| Jajajajajajaja |
| Umiyado |
| Que le dijiste? |
| Si |
| Miraaaa |
| Habra uno asi en el roblo? |
| Jajajajaj |
| Va |
| Jajajajajaj |
| X222 |
| XD |
| X2 |
| Y siii |
| Noo |
| Me acorde q tengo examen |
| Y tengo q estudiar |
| Akiora duermes? |
| Va |
| Vale? |
| Okok |
| Grasias |
| Chi |
| Jajajaj |
| Va |
| Provechito |
| Jajajaj |
| Ola |
| Gracias jajaja |
| Cada dia mas boomer omg |
| Si |
| Buenos dias |
"| Si, dormi bien pero no soñe nada |"
| Y tu? |
| Ey q pasa |
| He estado ocupada |
| No puelo |
| Me regalaron un lighstickkkkk |
| Literalmente llore |
| Frey |
| No |
| Siii |
| Que no puedooo |
| Si |
| Si |
| XD |
| Nombre |
| Ya mañana mejor |
| Si |
| Si por |
| Ya estoy en casa y estuvo sensiyo |
| Si |
| How sweet |
| XD |
| Si |
| Si q |
| X2 |
| De q va?? |
| Ojala |
| Al rato lo jugamo |
| Kiero |
| Si |
"| No se dice, se hace |"
| o.o |
| Mmm |
| Es q literalmente no tengo pc |
| No |
| Mas al rato |
| Si |
| Jajajja |
| Y yo si llego tempra |
| A veces |
| El de giselle es el mejor |
| Avr |
| Q dices |
| Vale vale |
| Yayaya |
| XD |
| Siii |
| Andaba devorando |
| Pqqq |
| Te mojaste o algo? |
| Dormi bien y tu q tal? |
| Aloha nano na ha |
| Solo el inicio jajaj |
| Si |
| Lo decia x el edit |
| La musica q le ponen |
| Q mal |
| Quien sabe q te enfermo |
| No creo q haya sido algo helado |
| O kien sabe |
| Espero q te mejores rapido |
| Animo |
| Como empieza? Ya no me acuerdo |
"| Maso, hay caps buenos y otros meh |"
| Que bueno |
| De q sabor? |
| No kreo |
| No |
| X2 |
| O |
| Mi fav es de keso |
| Yea perdone |
| OMG |
| Es mi reaccion a esto |
| Si |
| Sii |
| Siiiii |
"| Holanda, queso con zarzamora |"
| X2 |
| Esta maso la vda |
"| El vddero helado rico de queso son vendidos en la calle, asi como nieve |"
| Aja |
| Pero la de queso es de leche |
| Si |
| Ya voy a mi casa gracias a dios |
| Kien se peto? |
"| Ojala, sabe rika |"
| Pero yo no jajaja |
| Si |
| To bien |
| Y a ti? |
| Provecho |
| Tal vez |
| Sii |
| Pure de q? |
| Jajaja |
| Ya los ganaron |
| Q es gravy? |
| F |
| Ya dormire |
| Aaaa |
| Donde lo venden? |
| Kierooo |
| No see |
| Ekis |
"| No ipota, tranki |"
| No me deja verlo |
| Ja |
| Ola |
| Ojala vdd |
| Mimi bien |
| Y tu? |
| Apocooo |
| Enseñamelo para ver si lo venden aca |
| Eii |
| Y bonitos colores |
| Jaajjaja |
| Y me muero tmb yo de la impresion |
| S |
| No |
| Pq lo dices o q |
| No lo habia vistoooo |
| Boomer |
| No |
| Oraaa |
| Quien dice |
| Cuales otros hay? |
| Si sabe a pure de kfc? |
| Ya seee |
| Pero x eso |
| Te creo |
| Aaaa |
| Pero tmb son de pavo? |
| Apocoooo |
| Ya me dieron ganas de comprarlo |
| AUDITORIO |
| A |
| Habria estado bno q de vdd te hubieran sacado TT |
| Nada |
| Tal vez |
| Jajajaj |
| Noooombre |
| Mejor me defiendo sola |
| Claro |
| Nada |
| Pq asi son los hechos |
| Tal vez |
| Komo |
| Grasias |
| Ola |
| No cierto |
| Q tal |
| Como va la vida de lic? |
| Jajajjaj |
| Te entiendo |
| Chi |
"| Ps q te digo, embeses esta bn tryhard y embeses meh |"
| Que |
| Jajajaja |
| Si vda |
| Pon alarmas |
| Siii |
| Claro |
| Dame |
| Si |
| Siii |
| Lily suena muy bn |
| Conste |
| El mas chefsito |
| X2 |
| Bueno |
| 💋💋 |
| 🧒 |
| Poke |
| 🧒 |
| Eso si |
| Jajajajj |
| No se si tendria q ver |
| Siii |
| Mmm yo creo q un poco mas intenso |
| Talves |
| Pudiese ser |
| Ya no se |
| Yo kisiese la vdd |
| Pero me da miedo la critika |
| Grasias neni |
| Pero |
| No te dije algo muy importante |
| Y es q |
| Nada |
| No todobn |
| No era nd |
| Cual te gusta mas? |
| Asi q te parece eta? |
| X2 |
| No se |
| Yo keria la otra |
| Ayudameeee |
| Ayudame a buscar |
| Corre |
| Sii |
| Donde sea |
| Jajajajaj |
| 🤣🤣 |
| Siiii |
| Jajajajaja |
| Lo acepto |
| Apurate chika |
| Q no se va a conseguir sola |
| Si |
| No |
| En la primera q mandaste jajajaja |
| Ya mejor nd |
| Ya llegan |
| Jajaja |
| Sigo viva |
| Fui a cenar |
| Ola again |
| Orita las veo |
| Grasias |
| Un yogursito |
| Tu ya cenaste? |
| Poke |
| Esta super bonita estaaaaa TT |
| Por? |
| TT |
| Jajajaja |
| Pero esta biennnn |
| Deveritas? |
| Grasias chika |
| Sim |
| Gracias |
| Siii |
| Siii |
| Sip |
| Perdone |
| Siiii |
| Yo tmb |
| Chi |
| Animo |
| Si to bien |
| Solo q |
| Ando haciendo una tipo tesis |
| Y ya me aburri |
| Siii |
"| Solo q aun no es la tesis, tesis |"
| Es como plantear la idea primero |
| Y luego ya q me la aprueben ahora si ya va la tesis |
"| Nadie, es obligatorio TT |"
| Ntp |
| Yaaa |
| Ya estoy en mi casa |
| Sip |
| Ya |
| Gracias |
"| Bien, to bien y tu? |"
| Auchhhh |
| No se te enterro nada? |
| u.u |
| Espero que te vaya mejor en lo q falta del dia |
| Animo |
| Animo |
| Jajajaj kien sabeee omg |
| Nokreo |
| Ay q buenooo |
| Yo pense q se te habia clavado x.x |
| Senti feo |
"| Animo, veras que si |"
| Gracias |
| Animo animo |
| Ola |
| Siii |
| Grasias |
| Si |
| Del 25 de oct creo al 28 |
| Helao |
| No tiene tampoco jajaj |
| A |
| 04-nov |
| Obvio |
| De q te lo haces? |
| Sip |
| Siii |
| lOl |
| Sii |
| No |
| En fa |
| Para ayer |
| Te creoooo |
| Poke |
| Jajajaj |
| Animo puej |
| Re epica esa escena |
| Jajajajajj |
| Quien sabee |
| Jajaja |
| De hecho estaba mimida |
| O |
| Si cierto |
| Ya lo habia olvidado |
| Te diria q mejor mañana |
| Pero no se si mañana si jajajaj |
| Es q creooo |
| Q mañana me toca jornada laboral |
| Si |
| O sea de q quedarme hasta tarde en la escuela |
| No seee |
| Depende de un prof |
| Mejor mañana |
| Jajaja si |
| Sabes q no |
| Solo q me canso nomas de existir |
| u.u |
| De q edo |
| Naaa |
| Soty supersonic |
| Si |
| Ni la conoces vdd? |
| Llegue a la conclusion de q el solo q mas me gusto fue el de wintar |
| Siii |
| Esta muy buena |
| Siii |
| Q horror |
| Fuersa bro |
"| Si mimi bien, aunque no keria levantarme TT |"
| No soñe nd |
| Claro |
| Suerte |
"| Y recuerda chika, eres una lucky girl syndrome |"
| JAJAJAJA |
| Busca la imagennn |
| Jajajaj |
| Épico |
| Mas claro ni al agua |
| Grasias |
| Naaa |
| Jajajajaj |
| Olaaa |
| Ya |
| Ya le llego? Onta? |
"| Siii, esta bn cara ahi |"
| Nosotros |
| Jajajaja |
| Si |
| Ya orita? |
| Sii |
| Va |
| Gogog |
| Jajajjq |
| Eso si |
| Es mucho |
| Pero no complicao |
| Espero q mañana |
| Oraaaa |
| Hay q chambear |
| Cuando |
| Es vdd |
| Acaba el prox año vda? |
| Sip |
| Que |
| Q es eso |
| Cosas de niuyork |
| Nonooo |
| A si a las 10 salia |
| Pero ya estaba petada a esa hora |
| Si |
| No puelo |
| De cuanto?? |
| No lo vi |
| Eso fue lo peor |
| Y pq no 47.5k? |
| Jajajaj ay apoco si |
| Acepto |
| Mejor juego dress to impress |
| Omggg |
| Cuando vino wtf |
"| Mi bffo, como el drizzzz |"
"| Si, xfa |"
| X222 |
| Coinsido |
| Aca x mi escuela hay una churreria muy buena |
| Hay de los dos |
| Estan bn caros |
| Chi |
| No compro |
"| No es asi de q, ay los vende un señor |"
| Es una churreria de cadena |
| Se llama don porfirio |
| Aca igual |
| Pero no tanto |
| Omggg siii |
| Ola |
| Perdon |
| Porrr |
| Kieres jugar? |
| Ei |
| Pero caro |
| Vavava |
| Nomas deja me llevo mi cena |
| Nooombre |
| La vda no me acuerdo |
| El dia q fui ya tiene mucho pero no estaban a 30 |
| A vale |
| Provechito |
| Eii |
| Si |
| Jajaja siii |
| Go |
| Cereal |
| Gracias |
| Es uno de all bran kreo |
| Estan muy fit |
| A mi me gustan |
| Pq no me empalagan |
"| Pero si, justo algunos ni tienen de q azucar |"
| Ay si |
| Si luego te echas el q son como galletitas mini no? |
| Mañana si dios quiere |
| Ontas |
| Ya te soltaron? |
| Estaba haciendo tarea |
"| Ainoooo, que le paso TT |"
"| Uy no, yo tengo un monton |"
| Y ahorita como esta? |
| Jajajqj |
| Double kill |
"| Que bueno, pobrecita |"
"| Eii, asi la vida aca |"
| Fuersa sis |
| Eres debil saske |
| No |
| Y tu? |
| Y en q acaba? |
| Ya bn tarde |
| Avr |
| Es ese? 😦 |
| Jajajaj |
| Q bueno |
| Jajajaj |
| Nourrrr |
| Cayo muy bajo |
| No |
| Pq tengo tarea |
| Yo bien kenchana en la madrugada dice |
| Si |
| Y digo itadakimaaaas |
| Muy bueno |
| I know |
| Yo tengo tremenda obsesion |
| Con nemonemo |
| Pq la conoci ayer |
| Si |
| X222 |
| Jajaja |
| Es muy jpop |
| Me gusto mucho |
| Me parece una miku en la vida real |
| X2 |
| Siii |
| Ya tiene un ratote |
| Es ex izone |
| No |
| No |
| Jajajaj |
| Sepa |
| JAJJAJA |
| No |
| Jajaj |
| Ya lo tengo |
| Jajajja |
| Ira ira |
| Si puedes |
| Gracias a dios |
| Si |
| Jigumi |
| Asi se llama jajaja |
| Busca si quieres |
| Claro q no |
| Si se parecen pero no tanto |
| Si |
| Tmb sabes |
| Me da vibes de ser una ai en la vida real |
| De q si hacen live action debe ser ai ella |
| Si jajaj |
| De hecho tenia una portada q se le parecia a ai |
| Deja t la enseño |
| Ya quede |
| Recordaba q tenia rayitos rosas |
| Pero bueno ya no tiene caso |
| Ya la encontreee |
| Akeno |
| Pq |
| A |
| Jajajaja |
| Y ve la estrella en su ojo |
| Vdd q si |
| Deberian hacerlo |
| Yo se q todos pensamos q es una ai |
| Me ayudas? |
| Jajajaja |
| Y ya |
| Si |
| Omggg |
| De donde la sacaste? |
| Jajajaj |
| Tabn |
| Gracias |
| Como supiste |
| Pero x eso mejor asi |
| O |
| Que |
| Me la crei |
| X2 |
| Sepa |
| Sii |
| Vale |
| Aaaa |
| JAJAJAJ |
| Si |
| Jajajaj |
| Oraaa |
| Andas bn alucin |
| Noo |
| Seamos jigumis |
| Anda di k si |
| A mi tambien |
| Eres el unico q entiende |
| Animo |
| Con q te picaste? |
| Ooo |
| No los conocia |
| Se ven feos |
"| Aca igual anda lloviendo, pero nomas asi chispitas |"
| Fuersa bro |
| Awwww |
| Ame |
| Incomodo |
| Pero no ai de otra cuando esta fuerte |
| Nooombre |
| Un impermeable x lo menos |
| Siii |
| Jajajaja |
| Kien |
| Jajajaj |
| Aca sigue chispeando |
| Yap |
| Ya toy en ksita |
| Jajaja |
| Eso si |
"| Bien, a ti q tal? |"
| Ja q nob |
| Fue coronel |
| Si |
| Q bueno |
| A donde te llevaron? |
| Muy bn |
| Jajaja |
| Bn lejos cuanto? |
| Noooo |
| XD |
"| Okok, si esta lejitos |"
| Te la paso |
| Si |
| Ola |
| Hoy salgo a la 1:30 |
| Bueno se supone |
| Pq mi profe luego ni viene |
| Ni si quiera me gusta kurko q dices |
| Pues en si me gusta mucho rhcp |
| Pero tmb me gusta metallica jjaja |
| Aunque siento que no cuenta como rock |
| Pero no se jajj |
"| Asi q si, red hot chilli peppers es mi fav |"
| Tmb muse me gusta |
| Mmm the strokes |
| Yyy yo creo q kings of leon |
"| Aaaa xcierto, ya escuchaste la dosis diaria de nemonemo? |"
| Del que? o.o |
| A |
| Ok |
| Jajajaj |
| Perdon |
| Nooo |
| Aun no acaba jajaj |
| Asi q apurale |
| Ya lo cambie |
| Bueno |
| A |
| Avr si |
| Siguele |
| Q a gusto |
| Yo vengo en la combi |
| Hace frio? |
| Si te dije q luego va a mi escuela? XD |
| Asi q si es medio canon |
| O |
| Lo normal q dices |
| Si te dije |
| Lo recuerdo |
| Como si fuera ayer |
| Nooombre |
| Pues si |
| Es q |
| Creo q tiene su novia en mi escuela |
| Entonces cuando la va a ver se mete |
| Komo |
| Pero no es de q llegue diciendo eyeyey soy yo |
"| Pues sepa pero hay fotos de mi escuela en su insta, creo |"
| O sea ya lleva tiempo aca |
| De hecho creo q ya se graduo |
| Si |
| Pero yo joven |
| Sim |
| Me acorde de forever |
| De las baemon |
| Joder q buen grupo |
| Aaaaa |
| Xciertooo |
| Topaste a las meovv? |
| Jajajaj |
| Yo digo q ahyeon esta algo sobrevalorada en cuanto a vocal |
| O sea si es buena |
| Pero has escuchado a rami? |
| Siento q ella le gana facil |
| Segun son las blackpink de esta gen |
| Pq hay una chika q se llama Ella y de hecho hay varios videos de Ella con bp |
| Y decian q ella se parecia a jennie |
| Y ahora debuto en meovv |
| Pero el grupo ni sono |
| El grupo esta producido por black label |
| De teddy |
| Same productor q bp |
| Pero te digo q le fallo esta vez |
| Jajajaj |
| XD |
| Ellas nunca lo fueron o si? |
| Nomas x ser 4 |
| Pero siempre han tenido conceptos bn locos |
| Aaaa |
| Hablando de ellas |
| Ya escuchaste whiplash? |
| Su debut se llamo meow |
| Jajaja |
| Esta x pero despues le agarras cierto gustito |
| Pero me acorde de ellas x baemon |
| Pq baemon la vdd si me gustan y ps estas chikas no se |
| Apenas nacieron pero siento q les fue mal para lo q esperaban |
| Sii |
| Winter se ve sp bien |
| Fue mi fav en este concepto |
| XD |
| Eso si |
| Pero es q teddy segun si le sabe |
| JAJAJAJA |
| XD |
"| Me recordaste q luego en el tiktok he visto comentarios q dicen q se imaginan una colab entre rose, lisa, jennie y jisoo? :00 |"
| Jajajaj |
| SHEESH SHEESH |
| Siii |
| Imaginate |
| La colab del año |
| Q digo del año |
| Del siglo |
| Noooo |
| Lloro |
| Jajajaj |
| Q |
| Aaaa |
| Jajajaj |
| Lol quedo |
| No habia visto xdd |
| No devoro |
| Ayuno |
| Siii |
| Jajajaj |
| 💋💋 |
| Ya escuchaste nemonemo? |
| Yo ya le hice stream como 10000 veces |
| Jajaj |
| Ya de repente no contetso |
| Jajajqj |
| No es singgg |
| Es SIGN |
| Ay yo tambieeeen |
| Lo he visto como 50 veces |
| Te lo juro |
| Ahi si esta bien jajaja |
| XD |
| Es q escribiste sing |
| La primera vez pero te dije q era sign |
| Lol q mal |
| Siiii TT |
| Jajaja |
| Muy bien |
| Oficialmente somos jigumis |
| Apoko |
| Luego q crees |
| La guglie |
| Y tiene 25 omg |
| Se ve sp joven |
| Apoko no |
| Vdd q sii |
| Jajaja nooo |
| Es q todas se ven jovenes |
| Pero esta bn random que en izone se llevaran tantos años de edad algunas miembros |
"| Pq yena tiene 25, sakura creo 26 y wonyo apenas cumplio 20 |"
"| Nooo, de hecho creo q saku ya tiene 27 |"
| Siii jajjaja |
| Siiii |
| De hecho si me dio miedo |
| Ahorita ya estoy en mi casa |
| Etooo |
| Ya estamos aki |
| Q estudiosos |
| Solo esto llevaba la tarea de economía |
| Oye otra jaja |
| Oyeeee |
| Te estoy marcando |
| Ya no lo usan los chabos |
| Eh eh |
| Meper? TT |
| Nada más pienso hacer lo de este ejercicio |
| Van a querer |
| Nop |
| Porque qué quieres? |
| Jajaja pues i quieres mañana le decimos |
| Oye master |
| Pero naaaa |
| Ya estamos en nuestra casa |
| Ya nada |
| Meti ciberseguridad en su lugar |
| Pero si es el extendido |
| Este viernes hara un examen de 5 preguntas |
| Es que no sé qué poner |
| Esos 4 |
| Porfa |
"| A nono, era el 6 jejeje |"
| Si |
| Nose |
| Jajaj |
| Siguiente |
| La vdd no se |
| Ok entiendo :( |
| Oki |
| Hoy vamos a hacer tarea de bases de dstos |
| Creo q en ru caso solo son 3 |
| A no |
| Sobre el problemario |
| Otra pregunta jeje |
| Esa ya las tengo jajaj |
| N9 le entendi tampoco jaja |
| El examen vale 1pto extra |
| Estos no |
| Uff |
| Q |
"| Hola, si estan en mi carpeta |"
| Vale vale gracias |
| Tengo flojera |
"| De aki la demostracion no la hice jeje, pero tenias q demostrar lo q esta en pluma con base en lo sabido, q es lo de lapiz |"
| Niii |
| No |
| Un momento |
| De nada:) |
| Me puso eso |
| Gracias |
| XD |
| Pero no tengo una jajaj |
| Ayudaaaaaa |
| Ni que fuera a vender |
| Perdon |
| Es q las otras no les entendi |
"| Tabn, yo igual hare nomas ese Bl |"
| Ai |
| JAJAJJAJAJA |
| Si te los pasaron ¿ |
"| Jajajaj no seee, ósea pero me perece que se crea dentro de los códigos en c Sharp |"
| Dimeeeee |
| Ooo |
| Hola |
| Es q eso de memorias es de la decada pasada |
| Creo q es algo de diferencia de velocidad o algo asi |
| :( |
"| O, sorry no estaba en mi casa |"
| JAJAJA |
